year,TsMax,TsMaxDay,TsMin,TsMinDay,TbMax,TbMaxDay,TbMin,TbMinDay,MaxStratDur,MeanStratDur,TotStratDur,StratStart,StratEnd,StratFirst,StratLast,par_id,model
2011,15.339,194,0,0,8.3623,329,3.3284,49,209,43.6,218,105,314,98,325,p0041,FLake
2012,15.83,232,4.9401,361,9.1508,294,4.9301,355,136,136,136,146,282,146,282,p0041,FLake
2013,17.185,208,3.6022,94,8.8478,307,3.6022,94,147,147,147,155,302,155,302,p0041,FLake
2014,16.323,206,4.0123,46,7.4604,326,4.002,48,196,196,196,115,311,115,311,p0041,FLake
2009,4.6357,364,4.6357,364,4.6357,364,4.6357,364,NA,NA,NA,NA,NA,NA,NA,p0042,FLake
2010,20.011,167,1.7992,363,8.6882,315,2.9423,13,214,214,214,99,313,99,313,p0042,FLake
2011,19.822,193,1.4637,0,9.3101,328,3.3106,33,215,215,215,95,310,95,310,p0042,FLake
2012,19.614,226,5.6159,33,12.666,275,5.6159,33,129,129,129,142,271,142,271,p0042,FLake
2013,22.775,208,4.8481,27,12.033,299,4.8481,27,150,150,150,145,295,145,295,p0042,FLake
2014,21.088,205,4.7655,46,9.6098,314,4.7586,47,208,208,208,99,307,99,307,p0042,FLake
